unit_id,unit,second_id,origin,owner_name,bnetza_id,latitude,longitude,city,countrycode,description,valid_from,valid_until,deftech,old_deftech,fuel,effective_startdate,max_power,techclass,unittype,operationmode,default_node_id,voltage_level,AnnualOaMcosts,AvgEff,CapSp,Capture_Rate,CH4,ContributionMinOnl,DeSO2,InvestCosts,LeadTime,LifeTime,MaxEff,MaxSpinResPri,MinDownTime,MinOperTime,MinPower,NonSpinningReserve,NOX,PartEff,Reliab,StartUpFuelConsHot,StartUpVarCosts,SyncTimeHot,VarOaMcosts,GSSHADOWCONTENT,GSSHADOWONLINE,GSCONTENTHYDRORES,GSCONTENTSTORAGE,GSELEC,GSHEAT,GSONLINE,GSOPTIME,GSSDTIME,FlexibleToWind,IsAlwaysRunning,OutTimeStartUpCosts,SpeReserveCapability,SpinningReserve,Vgonline,MaxRes_aFRR,MaxRes_FCR,CHP_CB,Ext_CV,LoadLoss,Sto_LoadEff,Sto_MaxCharging,Sto_MaxContent,Sto_MinCharging,Sto_MinContent,CHP_MaxHeat
7388,HKW Jena,8729,UeNB,Thüringer Energie AG,BNA0504,50.92348514,11.61523083,Jena,DE,BNA0504,35065,25569,GAS_CC_EXC_b1999,GASCC99_EXC,NAT_GAS,35065,182.0,CC_EXC,CC,CHP2,,,19.0,0.52,169.1799,0.0,0,0.0,0,950,0,35,0.57,0.1314286,4,8,45.0086,0,0,0.53,0.96,637.0,8,2,1.2,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.34,0.034,1.813505,0.15,,,,,,,225.0
7389,HKW Schwarza Rudolstadt,8731,UeNB,Energie- und Medienversorgung Schwarza GmbH,BNA0856,50.75537764,11.34781765,Rudolstadt,DE,BNA0856,39448,25569,GAS_CC_EXC_f2000,GASCC22_EXC,NAT_GAS,39448,26.5,CC_EXC,CC,CHP2,,,19.0,0.56,317.2321,0.0,0,0.0,0,950,0,35,0.53,0.1314286,4,8,10.6,0,0,0.47,0.96,92.75,8,2,1.2,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.4,0.04,1.5,0.17,,,,,,,23.41086
7390,HKW Bad Salzungen,8734,UeNB,Thüringer Energie AG,BNA1105,50.82724188,10.25324495,Bad Salzungen,DE,BNA1105,34335,25569,GAS_GT_CH2_b1989,GASGT89_EXC,NAT_GAS,34335,10.0,GT_CH2,GT,CHP2,,,19.0,0.3,10.321,0.0,0,0.0,0,440,0,35,0.3,0.2285714,1,1,3.0,0,0,0.24,0.92,11.0,8,0,1.2,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.61,0.061,0.58,0.0,,,,,,,57.0
7391,HKW Bohrhügel Suhl,8735,UeNB,Stadtwerke Suhl/Zella-Mehlis GmbH,BNA1264,50.6384772,10.73560056,Suhl,DE,BNA1264,34700,25569,GAS_GT_CH2_f2000,GASGT22_EXC,NAT_GAS,34700,13.5,GT_CH2,GT,CHP2,,,40.0,0.35,78.94125,0.0,0,0.0,0,440,0,35,0.35,0.2285714,1,1,4.00005,1,0,0.3,0.93,14.85,8,0,1.53,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.75,0.075,0.7,0.15,,,,,,,22.42222
7392,Unterbreizbach,8736,UeNB,K+S AG,BNA1271,50.79907877,9.987158,Unterbreizbach,DE,BNA1271,25569,25569,GAS_ST_EXC_b1969,GASST69_EXC,NAT_GAS,25569,20.0,ST_EXC,ST,CHP2,,,40.0,0.3,41.04438,0.0,0,0.0,0,550,0,35,0.35,0.1666667,4,4,16.8,0,0,0.31,0.97,124.0,3,0,1.53,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.1,0.01,0.6,0.15,,,,,,,7.833333
7393,HKW Erfurt-Ost 2,8738,UeNB,SWE Energie GmbH,BNA0256b,51.02547728,11.02801282,Erfurt,DE,BNA0256b,41640,25569,GAS_ST_EXC_f2000,GASST22_EXC,NAT_GAS,41640,32.6,ST_EXC,ST,CHP2,,,40.0,0.4,48.99576,0.0,0,0.0,0,550,0,35,0.57,0.1666667,4,4,9.99842,0,0,0.53,0.97,202.12,3,0,1.53,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.4,0.04,1.868852,0.15,,,,,,,40.0
7394,HKW Wiesengrund Eisenach,8747,UeNB,ENAG/Maingas Energieanlagen GmbH,BNA1505,50.99082255,10.3015717,Eisenach,DE,BNA1505,33970,25569,GAS_ST_BKP_b1999,GASST99_BKP,NAT_GAS,33970,22.1,ST_BKP,ST,CHP1,,,40.0,0.27,16.25714,0.0,0,0.0,0,550,0,35,0.496,0.1666667,4,4,4.99902,0,0,0.456,0.96,137.02,3,0,1.53,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.34,0.034,0.28,,,,,,,,79.5
7396,Süd DT11 München,207520,UeNB,SWM Services GmbH,BNA0683a,48.1172998,11.54724508,München,DE,BNA0683a,29221,25569,GAS_CC_EXC_b1983,GASCC83_EXC,NAT_GAS,29221,79.7,CC_EXC,CC,CHP2,,,19.0,0.44,128.0864,0.0,0,0.0,0,950,0,35,0.46,0.1314286,4,8,19.99673,0,0,0.42,0.96,278.95,8,2,1.2,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.22,0.022,1.068558,0.2,,,,,,,176.8
7397,Süd GT31 München,207522,UeNB,SWM Services GmbH,BNA0683b,48.1172998,11.54724508,München,DE,BNA0683b,29221,25569,GAS_CC_EXC_b1983,GASCC83_EXC,NAT_GAS,29221,97.9,CC_EXC,CC,CHP2,,,19.0,0.44,128.0864,0.0,0,0.0,0,950,0,35,0.46,0.1314286,4,8,28.99798,0,0,0.42,0.96,342.65,8,2,1.2,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.22,0.022,1.068558,0.2,,,,,,,176.8
7398,Süd GT21 München,207523,UeNB,SWM Services GmbH,BNA0683c,48.1172998,11.54724508,München,DE,BNA0683c,29221,25569,GAS_CC_EXC_b1983,GASCC83_EXC,NAT_GAS,29221,97.9,CC_EXC,CC,CHP2,,,19.0,0.44,128.0864,0.0,0,0.0,0,950,0,35,0.46,0.1314286,4,8,28.99798,0,0,0.42,0.96,342.65,8,2,1.2,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.22,0.022,1.068558,0.2,,,,,,,184.2
7399,Süd DT602 München,207814,UeNB,SWM Services GmbH,BNA0684c,48.1172998,11.54724508,München,DE,BNA0684c,37987,25569,GAS_CC_EXC_f2000,GASCC22_EXC,NAT_GAS,37987,127.6,CC_EXC,CC,CHP2,,,19.0,0.56,317.2321,0.0,0,0.0,0,950,0,35,0.53,0.1314286,4,8,63.8,0,0,0.47,0.96,446.6,8,2,1.2,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.4,0.04,1.5,0.17,,,,,,,181.1
7400,Süd GT 602 München,207824,UeNB,SWM Services GmbH,BNA0684a,48.1172998,11.54724508,München,DE,BNA0684a,37987,25569,GAS_CC_EXC_f2000,GASCC22_EXC,NAT_GAS,37987,124.9,CC_EXC,CC,CHP2,,,19.0,0.56,317.2321,0.0,0,0.0,0,950,0,35,0.57,0.1314286,4,8,62.45,0,0,0.53,0.96,437.15,8,2,1.2,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.4,0.04,1.831715,0.1,,,,,,,184.2
7401,Süd GT 622 München,207825,UeNB,SWM Services GmbH,BNA0684b,48.1172998,11.54724508,München,DE,BNA0684b,37987,25569,GAS_CC_EXC_f2000,GASCC22_EXC,NAT_GAS,37987,123.9,CC_EXC,CC,CHP2,,,19.0,0.56,317.2321,0.0,0,0.0,0,950,0,35,0.57,0.1314286,4,8,61.95,0,0,0.53,0.96,433.65,8,2,1.2,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.4,0.04,1.831715,0.1,,,,,,,110.2
7403,Kraftwerk 3 Fulda,229712,UeNB,Papierfabrik Adolf Jass Schwarza GmbH,BNA1492a,50.59351381,9.680142136,Fulda,DE,BNA1492a,32874,25569,GAS_ST_EXC_b1989,GASST89_EXC,NAT_GAS,32874,26.2,ST_EXC,ST,CHP2,,,19.0,0.35,57.9505,0.0,0,0.0,0,550,0,35,0.46,0.1666667,4,4,10.39878,0,0,0.42,0.95,162.44,3,0,1.2,0,0,0,0,0,0,0,0,30,1,0,0,0,1,1,0.28,0.028,0.47,0.15,,,,,,,28.17879
